IDFolio;ZonaEOD;IDMacrozona;TipoEncuesta;NumeroVehiculos;NumeroBicicletas;NumeroPersonas;NumPersonaViaja;NumPersonaNoViaja;NumeroViajes;NumeroEtapas;DiaEncuestaHogar;NumeroBicicletaAdulto;NumeroBicicletaNigno;Tama¤o;Ingreso;Factor;sup_Predio_SII;Avaluo_SII;AnoConstr_SII;SupConstruida_SII;Calidad_SII;Imputacion_SII;IDFolio2;Promedio de IngresoLiquido;ING_TOTAL_H;Promedio de A_Estudios_H;Promedio_Edad_H;H_tipoE;H_tipoD;H_tipoC3;H_tipoC2;H_tipoABC1;Suma de HOMBRE;Suma de MUJER;Suma de EDAD_0A5;Suma de EDAD_6A14;Suma de EDAD_15A64;Suma de EDAD_65YMAS
1003003;1;1;1;0;0;4;3;1;6;6;4;0;0;4;90000;33.38;625;89321311;1939;345;3.00;POR_DIRECCION_EXACTA;1003003;90000;360,000;7;78;0;0;1;0;0;0;4;0;0;1;3
1003007;1;1;1;2;1;2;2;0;10;10;3;1;0;2;1000000;33.38;0;84406332;1990;205;3.00;POR_DIRECCION_EXACTA;1003007;625000;1,250,000;7;71;0;0;0;0;1;1;1;0;0;1;1
1003014;1;1;1;2;0;2;2;0;10;10;3;0;0;2;0;33.38;0;84406332;1990;205;3.00;POR_DIRECCION_EXACTA;1003014;0;0;5;78;1;0;0;0;0;1;1;0;0;0;2
1003019;1;1;1;1;0;2;1;1;6;6;4;0;0;2;375000;33.38;0;84406332;1990;205;3.00;POR_DIRECCION_EXACTA;1003019;375000;750,000;7;82;0;0;0;1;0;1;1;0;0;0;2
1003020;1;1;1;1;0;2;2;0;8;8;5;0;0;2;0;33.38;0;84406332;1990;205;3.00;POR_DIRECCION_EXACTA;1003020;0;0;4;89;1;0;0;0;0;1;1;0;0;0;2
1009901;1;1;1;0;3;1;1;0;2;2;3;2;1;1;375000;33.38;268;74697780;1960;258;3.41;PromedioZonaEOD;1009901;375000;375,000;4;44;0;0;1;0;0;0;1;0;0;1;0
2007042;2;1;1;0;0;1;1;0;4;4;5;0;0;1;0;20.71;0;22996963;1974;66;3.00;POR_DIRECCION_EXACTA;2007042;0;0;6;30;1;0;0;0;0;0;1;0;0;1;0
2007053;2;1;1;0;0;1;1;0;4;4;2;0;0;1;160000;20.71;0;22996963;1974;66;3.00;POR_DIRECCION_EXACTA;2007053;160000;160,000;7;46;0;1;0;0;0;0;1;0;0;1;0
2007102;2;1;1;0;0;2;2;0;10;10;2;0;0;2;0;20.71;0;22996963;1974;66;3.00;POR_DIRECCION_EXACTA;2007102;0;0;6;26;1;0;0;0;0;1;1;0;0;2;0
2007133;2;1;1;0;1;2;2;0;4;5;5;1;0;2;550000;20.71;0;22996963;1974;66;3.00;POR_DIRECCION_EXACTA;2007133;550000;1,100,000;7;29;0;0;0;0;1;0;2;0;0;2;0
2007140;2;1;1;0;1;1;1;0;2;2;5;1;0;1;0;20.71;0;22996963;1974;66;3.00;POR_DIRECCION_EXACTA;2007140;0;0;6;31;1;0;0;0;0;1;0;0;0;1;0
2007902;2;1;1;0;0;3;0;3;0;0;2;0;0;3;250000;20.71;315;75127117;1967;227;3.11;PromedioZonaEOD;2007902;136667;410,000;6;58;0;0;1;0;0;2;1;0;0;2;1
