ZONA_EOD;Habitacional;Comercio_y_oficina;Industria_y_bodega;Salud_Educaci¢n_Deporte;Transporte_y_estacionamientos;Otros;Total_sup;Calidad-Superior;Calidad-Media;Calidad-inferior;Promedio_edad_construcciones;Acc_Auto_hab;Acc_auto_Com;Acc_auto_Ind;Acc_auto_SED;Acc_auto_TPTE;Acc_bus_hab;Acc_bus_Com;Acc_bus_Ind;Acc_bus_SED;Acc_bus_TPTE
1;37250;63417;15145;9149;7237;17107;149305;44793;62180;42309;66;0.668574682;0.763611798;0.690331224;0.72857086;0.738027579;0.415086037;0.566520651;0.518657089;0.484535785;0.498352534
2;59035;16709;2648;74787;2098;7840;163117;32095;109183;21839;56;0.691194306;0.777810947;0.687682248;0.752811932;0.778914007;0.469246174;0.690595085;0.508098061;0.615300531;0.701820364
3;59330;311805;45109;49492;57714;45470;568920;159306;299961;109527;41;0.677341476;0.790826773;0.695823912;0.740671776;0.768157461;0.465335156;0.682582069;0.54162436;0.558883537;0.670055915
4;44693;74347;19400;16842;8118;12748;176148;26812;99882;49454;56;0.60704362;0.709116212;0.634481506;0.659771839;0.676263385;0.43943296;0.632495504;0.535817708;0.50539608;0.586102101
5;144344;77277;23866;6804;35432;27461;315184;63463;143422;108108;27;0.678702862;0.756262345;0.675837811;0.725490624;0.762454891;0.421369836;0.63274416;0.507721416;0.521054016;0.622961317
6;47958;10915;5779;18568;1781;12484;97485;11773;52962;32750;54;0.680625733;0.768793379;0.682843198;0.743507934;0.76288847;0.235646223;0.30554546;0.236928985;0.300013476;0.271304155
7;151195;9621;4058;9395;6666;9510;190445;42461;78656;69156;31;0.578219791;0.525364038;0.472558197;0.564115796;0.598657652;0.498026469;0.517996448;0.408097616;0.521605247;0.617350408
8;75272;2418;829;5785;332;2719;87355;1447;25347;60561;45;0.636541071;0.62540546;0.55082692;0.651370899;0.696403875;0.472040726;0.547836497;0.406063272;0.536090248;0.643570409
9;146097;3324;2886;702;1363;6187;160559;446;100658;53455;30;0.626654998;0.577890337;0.52657399;0.617160899;0.650572005;0.525480205;0.565485498;0.43563494;0.573232526;0.655337928
10;132995;26577;16140;14314;14357;24737;229120;63747;76529;88568;46;0.654829571;0.686350261;0.611801839;0.696697575;0.728022962;0.495382849;0.658694174;0.513815078;0.563932945;0.719343209
11;166463;22064;6262;78294;11053;35343;319479;76783;195586;46892;42;0.577436889;0.573697929;0.502815639;0.61729343;0.637723831;0.484018437;0.685935629;0.501044244;0.627930413;0.717384388
12;280494;8924;14580;15659;3346;6877;329880;13421;156357;159664;26;0.6348161;0.589922645;0.555238147;0.62100621;0.644472485;0.467613095;0.538865157;0.458005592;0.489311767;0.584779232
13;32561;29465;3108;38145;10888;5135;119302;27690;50104;41508;37;0.636021746;0.635735589;0.592580713;0.64908251;0.669090325;0.478966739;0.566405524;0.446595233;0.528795359;0.658797725
14;131535;5805;7691;8552;848;4921;159352;4125;14875;140352;28;0.595314003;0.554414601;0.53461864;0.57602499;0.59562368;0.353805835;0.419640152;0.396826981;0.397320267;0.425510676
15;71149;3634;3798;6295;126;4150;89152;1402;10225;77525;34;0.630048795;0.618080825;0.592874731;0.627816796;0.645088944;0.420852921;0.5033997;0.467041385;0.467148474;0.513390382
16;108403;8535;3005;2021;4884;7092;133940;12286;29018;92636;37;0.641452907;0.626810725;0.588016014;0.646035854;0.665128393;0.501271122;0.613747038;0.5353458;0.54462273;0.663383097
17;93919;28164;22252;10073;1513;21361;177282;40192;52412;84226;50;0.66582149;0.710903653;0.658571529;0.695622297;0.722996031;0.387542428;0.593207985;0.459035582;0.474279799;0.572497726
18;68205;10718;14989;3326;370;2592;100200;9939;18375;71886;32;0.632674819;0.706988529;0.669800582;0.665891317;0.680263448;0.34910646;0.500985378;0.411450339;0.412014176;0.451268856
