;res_sup;res_inf
1;12;115
2;19;188
3;1;10
4;14;281
5;52;365
6;35;141
7;54;118
8;91;282
9;67;205
10;53;261
11;69;164
12;71;226
13;34;103
14;90;246
15;80;197
16;40;180
17;36;108
18;46;134
19;52;158
20;69;243
21;89;310
22;1;1
23;97;281
24;66;234
25;1;1
26;44;241
27;92;285
28;26;130
29;20;77
30;58;197
31;38;91
32;62;101
33;128;321
34;95;342
35;163;395
36;46;137
37;131;375
38;179;407
39;66;230
40;82;227
41;75;113
42;85;197
43;32;76
44;53;155
45;39;86
46;202;461
47;46;65
48;212;525
49;36;48
50;57;88
51;38;51
52;88;173
53;11;6
54;29;54
55;34;189
56;85;293
57;70;112
58;40;66
59;30;85
60;1;1
61;1;1
62;87;220
63;64;197
64;66;143
65;78;247
66;59;115
67;23;58
68;93;227
69;60;115
70;70;127
71;106;246
72;46;91
73;54;117
74;45;68
75;70;101
76;114;195
77;26;46
78;40;71
79;57;81
80;44;64
81;82;116
82;46;67
83;123;226
84;24;36
85;67;141
86;26;45
87;37;63
88;56;80
89;126;220
90;1;1
