;alto_viejo;alto_joven;bajo_viejo;bajo_joven
1;0;4;0;123
2;3;13;40;393
3;8;30;24;626
4;5;20;15;251
5;11;48;49;294
6;2;9;16;146
7;14;67;33;22
8;21;84;90;180
9;19;69;44;86
10;12;52;32;197
11;25;91;33;44
12;20;69;59;103
13;3;25;31;72
14;5;38;94;140
15;4;15;68;162
16;8;23;49;128
17;3;19;36;83
18;4;17;29;124
19;5;19;42;134
20;1;20;58;214
21;5;17;50;314
22;5;27;73;305
23;1;22;62;257
24;7;27;81;166
25;12;29;49;423
26;2;19;61;190
27;7;37;61;223
28;4;12;16;123
29;2;20;74;192
30;4;12;40;202
31;0;12;9;103
32;11;79;15;39
33;15;50;158;128
34;5;38;139;288
35;11;41;165;225
36;11;46;40;77
37;16;71;150;159
38;25;97;118;103
39;40;109;39;35
40;33;113;43;63
41;49;56;6;6
42;32;68;45;34
43;4;4;29;65
44;7;30;93;234
45;4;23;31;57
46;6;45;111;277
47;10;68;0;6
48;24;57;136;125
49;8;19;20;22
50;20;65;15;17
51;28;27;0;1
52;11;43;66;80
53;0;1;0;4
54;32;32;6;8
55;4;36;20;159
56;27;117;44;71
57;50;64;2;4
58;34;25;19;12
59;9;51;16;33
60;47;119;30;33
61;10;37;86;213
62;5;23;62;196
63;3;24;44;173
64;11;29;66;71
65;6;36;71;189
66;8;30;58;50
67;0;16;27;32
68;7;12;60;215
69;1;33;32;91
70;7;34;59;58
71;4;29;97;231
72;8;32;31;49
73;6;23;22;105
74;10;21;26;34
75;21;26;28;43
76;11;84;49;137
77;0;8;6;54
78;1;17;32;46
79;5;24;38;33
80;5;15;33;33
81;10;23;54;39
82;7;16;26;38
83;14;74;41;131
84;9;25;12;9
85;3;8;37;142
86;1;7;1;53
87;2;29;22;38
88;4;28;34;50
89;6;28;31;238
90;20;49;41;224
