;res_sup;res_inf
1;14;113
2;44;393
3;21;633
4;15;263
5;56;354
6;37;136
7;51;101
8;105;294
9;68;186
10;56;250
11;66;143
12;73;210
13;35;97
14;89;219
15;81;179
16;42;171
17;38;104
18;47;127
19;54;148
20;70;223
21;90;285
22;51;207
23;99;247
24;69;220
25;111;279
26;45;224
27;93;259
28;28;127
29;55;189
30;61;188
31;38;84
32;55;81
33;126;285
34;109;354
35;152;331
36;47;129
37;125;323
38;155;317
39;67;212
40;83;207
41;64;88
42;72;151
43;33;71
44;95;254
45;39;78
46;179;370
47;38;49
48;173;386
49;24;29
50;50;68
51;30;36
52;81;145
53;7;7
54;29;49
55;36;181
56;71;223
57;63;91
58;35;53
59;30;80
60;31;71
61;39;135
62;90;205
63;65;182
64;64;124
65;77;221
66;57;102
67;22;51
68;88;193
69;58;100
70;63;105
71;130;274
72;42;76
73;53;106
74;35;48
75;44;58
76;92;149
77;24;38
78;36;58
79;38;50
80;33;43
81;52;67
82;33;44
83;99;165
84;20;28
85;59;112
86;22;35
87;34;53
88;42;54
89;103;165
90;7;65
