;alto_viejo;alto_joven;bajo_viejo;bajo_joven
1;2;6;10;109
2;4;21;36;388
3;7;43;22;616
4;5;21;12;253
5;16;43;45;298
6;2;9;36;126
7;19;71;20;26
8;26;72;88;189
9;22;86;44;66
10;9;52;43;189
11;23;86;30;54
12;15;87;51;98
13;1;18;24;88
14;9;36;70;162
15;7;26;65;151
16;6;27;34;141
17;2;9;23;107
18;3;9;26;136
19;5;20;63;112
20;4;17;53;219
21;4;20;48;314
22;5;26;73;306
23;6;31;56;249
24;4;36;68;173
25;8;41;49;415
26;4;13;52;203
27;6;49;74;199
28;3;8;7;137
29;6;27;48;207
30;3;13;44;198
31;0;10;6;108
32;10;83;18;33
33;15;57;144;135
34;9;54;127;280
35;6;61;155;220
36;6;50;31;87
37;14;77;136;169
38;43;101;112;87
39;49;100;35;39
40;40;118;48;46
41;51;51;5;10
42;38;66;35;40
43;2;12;27;61
44;5;33;104;222
45;4;25;29;57
46;14;42;112;271
47;8;64;3;9
48;32;59;127;124
49;8;23;17;21
50;16;78;7;16
51;24;30;1;1
52;7;36;60;97
53;1;0;0;4
54;32;28;10;8
55;4;41;20;154
56;30;105;41;83
57;56;58;2;4
58;11;43;19;17
59;12;37;12;48
60;31;152;27;19
61;6;34;95;211
62;7;20;68;191
63;6;20;33;185
64;6;33;68;70
65;4;27;61;210
66;8;27;52;59
67;5;11;24;35
68;2;18;46;228
69;8;33;47;69
70;5;28;68;57
71;6;22;94;239
72;6;25;35;54
73;3;19;28;106
74;6;25;24;36
75;26;22;31;39
76;6;29;111;135
77;1;9;8;50
78;3;10;37;46
79;5;19;39;37
80;10;14;28;34
81;8;20;44;54
82;5;16;33;33
83;11;77;33;139
84;7;28;11;9
85;3;13;31;143
86;1;5;0;56
87;8;22;27;34
88;9;26;37;44
89;2;13;72;216
90;3;18;131;182
