ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
1,0.44,146479,83.607403,0.455833,68,0.252752969,0.674007918
2,0.455,200798,37.139734,0.334,37,0.801058594,0.672889219
3,0.467,224747,27.903868,0.819583,40,0.297675921,1.364347969
4,0.361,160709,53.268107,0.756923,54,0.527780452,1.21795489
5,0.437,328572,27.105057,0.814625,37,0.795983682,0.517389394
6,0.444,180620,27.777957,0.323333,45,0.430254199,0.179272583
7,0.202,466885,31.872203,0.941958,49,0.585399545,0.134154062
8,0.291,199186,17.991144,0.722973,47,1.151380431,0.18671034
9,0.256,418395,25.721924,0.975042,44,0.74833017,0.233853178
10,0.359,395710,26.161231,0.6932,45,0.818829695,0.393038254
11,0.239,493024,48.42137,0.879887,43,0.647052742,0.147057441
12,0.282,1005872,21.126457,0.90915,41,0.73661624,0.235717197
13,0.31,364207,25.718911,0.536833,46,0.361294708,0.160575426
14,0.233,574314,6.647556,0.488916,40,0.807578978,0.17513761
15,0.291,298720,7.933102,0.420238,38,0.652439534,0.046602824
16,0.303,392791,9.952249,0.485521,42,0.559587338,0.384716295
17,0.392,1100632,11.086465,0.382705,42,0.292203777,0.05748271
18,0.366,316321,17.226675,0.3675,38,0.365702662,0.081267258
19,0.34,324820,13.774751,0.435185,43,0.564323082,0.146305984
20,0.343,284472,15.959501,0.308485,47,0.877871952,0.212817443
21,0.356,231601,13.347298,0.333088,40,0.91190338,0.187744814
22,0.327,113295,9.779669,0.3944,50,1.154279396,0.369369407
23,0.318,308202,9.235344,0.545667,35,0.770924884,0.128487481
24,0.347,417874,15.271069,0.373,48,0.866962451,0.220681351
25,0.327,227648,26.071676,0.72,38,1.132999154,0.097114213
26,0.32,234559,10.647704,0.314194,47,0.802784042,0.492028929
27,0.286,425301,13.451357,0.536557,41,0.886058084,0.213102577
28,0.45,281530,47.909191,0.525556,52,0.445118358,0.296745572
29,0.329,146826,12.668367,0.335294,43,0.787083427,0.277794151
30,0.4,121404,19.612978,0.2275,47,0.772786964,0.128797827
31,0.31,162737,43.991293,0.55,30,0.017163943,0.051491828
32,0.206,73330,35.628616,1.305556,22,0.041726183,0.009272485
33,0.245,447246,4.874474,0.34913,41,0.996838535,0.086681612
34,0.29,288988,6.613785,0.301116,39,1.066697325,0.248069145
35,0.252,226183,4.446807,0.307375,32,0.973309926,0.06083187
36,0.343,302355,14.33533,0.820001,37,0.357477748,0.134054155
37,0.246,420164,8.005979,0.526667,36,0.976995424,0.162832571
38,0.228,233282,17.783493,0.789043,44,1.232999687,0.078702108
39,0.283,527958,35.439131,1.132121,48,0.862036401,0.313467782
40,0.291,385613,28.290425,0.948848,46,0.859221702,0.160193877
41,0.165,626129,40.786585,1.496112,38,0.443316858,0.009851486
42,0.144,561053,16.354366,0.943781,39,0.703226154,0.240126004
