ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
1,0.608397624, 199384 ,24.35893181,0.477301668,32.40851891,5.602690817,0.674007918
2,0.640118735, 389819 ,22.27023419,0.47367396,34.15424986,15.18807094,0.672889219
3,0.639499392, 501026 ,20.16381846,0.50183794,32.4463181,17.3644287,1.364347969
4,0.491056279, 280094 ,21.79801494,0.52968545,33.96778545,12.34194289,1.21795489
5,0.606880158, 502548 ,22.85936509,0.58816424,35.92802814,8.79561969,0.517389394
6,0.621950051, 259687 ,24.12542835,0.490992249,34.97379993,6.633085572,0.179272583
7,0.334737323, 571061 ,27.81130075,0.915088348,44.21240029,2.244031588,0.134154062
8,0.455675436, 441120 ,24.50469798,0.671619757,41.38420401,12.8207767,0.18671034
9,0.41775467, 552052 ,25.40676288,0.798993354,41.20605528,4.146996356,0.233853178
10,0.521357702, 534678 ,23.7524089,0.630597803,37.18609192,5.617171708,0.393038254
11,0.364025211, 624776 ,30.17805568,0.90419093,41.35854334,3.485261361,0.147057441
12,0.439726175, 1150364 ,23.92474443,0.776067863,41.33594077,2.585523002,0.235717197
13,0.459621727, 436804 ,25.11996922,0.606754972,40.36060483,2.990717307,0.160575426
14,0.366637586, 785171 ,21.02536721,0.552879569,42.25127391,3.502752193,0.17513761
15,0.437512291, 467431 ,23.26413858,0.498976774,40.22177644,4.520473916,0.046602824
16,0.457064758, 499041 ,20.95767425,0.552008727,40.44042272,2.984465804,0.384716295
17,0.55482909, 1171577 ,20.85103772,0.515288116,40.72109198,0.967625624,0.05748271
18,0.520189836, 407863 ,24.32555576,0.529155399,37.27531485,3.900828399,0.081267258
19,0.47333452, 433054 ,23.51539086,0.532251935,39.25379593,4.74449406,0.146305984
20,0.484710354, 443410 ,23.37199802,0.488476613,38.5515643,8.672310797,0.212817443
21,0.500797651, 440616 ,23.43335811,0.484310626,35.94737092,11.26468881,0.187744814
22,0.463553832, 331620 ,22.62212777,0.506729374,37.95489933,20.08446149,0.369369407
23,0.450262196, 510475 ,22.83762522,0.51140997,36.71383738,5.165196723,0.128487481
24,0.482885991, 566694 ,22.73320234,0.517774174,42.49379291,5.296352425,0.220681351
25,0.463213041, 550518 ,25.60592001,0.528090889,34.99091419,17.73952961,0.097114213
26,0.449427672, 367275 ,21.49064783,0.492606473,39.48868123,7.846566604,0.492028929
27,0.403454829, 628287 ,22.57390368,0.552283716,38.42369614,4.564881524,0.213102577
28,0.62488846, 349641 ,25.878778,0.531911753,36.88630333,4.278082001,0.296745572
29,0.460481193, 300130 ,23.29886978,0.50245429,39.91612883,14.12120267,0.277794151
30,0.557505325, 251639 ,24.07894207,0.483568577,37.22965008,11.84940012,0.128797827
31,0.430357216, 235002 ,26.02170574,0.527940765,33.17872143,2.145492829,0.051491828
32,0.280643145, 180165 ,28.34404303,0.950099802,36.01389086,0.70934511,0.009272485
33,0.410119869, 751574 ,22.3562102,0.554383517,46.47387875,6.067712819,0.086681612
34,0.457329066, 592846 ,22.78645988,0.505097566,41.00139767,12.72594716,0.248069145
35,0.413540299, 626198 ,23.77683048,0.520435835,43.11139804,9.935872163,0.06083187
36,0.508522015, 392205 ,24.37924924,0.712485066,40.41703668,4.245048254,0.134054155
37,0.419668429, 728749 ,23.49034222,0.610689918,44.05815608,9.037207669,0.162832571
38,0.38807921, 564251 ,25.44986416,0.731735562,44.84167169,10.231274,0.078702108
39,0.44495714, 652094 ,27.17306712,0.999753716,44.00193192,3.774674542,0.313467782
40,0.450232947, 535694 ,26.1132932,0.903851181,41.96542172,4.529117785,0.160193877
41,0.283506692, 732084 ,31.87098764,1.234766326,44.33533508,1.595940691,0.009851486
42,0.238862447, 731417 ,22.94187888,0.898414389,43.39580412,2.238317394,0.240126004
43,0.465535249, 387336 ,23.64472297,0.499996565,42.43400144,1.397871279,0.011552655
44,0.420447906, 438805 ,23.46870797,0.520289377,40.49960199,13.39572336,0.169137921
45,0.418119638, 611117 ,25.44644182,0.639140314,41.45420352,3.480067817,0.027619586
46,0.378838928, 1051756 ,23.43656117,0.520991458,39.59167842,9.364000207,0.055848908
47,0.245082923, 2582284 ,34.15623179,1.196113675,34.66353345,0.220370695,0
48,0.241872795, 1127132 ,21.08678067,0.578161693,44.25681584,5.34284456,0.229151347
49,0.101967895, 441160 ,25.47245396,0.73467852,43.36534161,0.13986869,0.026557346
50,0.269067422, 514000 ,29.96084683,1.053277809,39.07913857,0.558121908,0
51,0.207365859, 1011166 ,36.33166111,1.271550271,46.84533188,0.073222539,0.004724035
52,0.310364721, 910216 ,21.21885018,0.618099414,41.1103453,2.136091134,0.039852447
53,0.370515268, 243908 ,144.0876086,0.365888199,33.05774164,0.0486345,0
54,0.395915148, 1813536 ,27.35818045,1.075981003,47.3554559,0.216447605,0
55,0.62758861, 234231 ,23.9775384,0.613271607,34.87560267,10.59782647,0.368620051
56,0.379282626, 329461 ,25.90260414,0.895758288,39.90697962,9.957241341,0.351845984
