Zona,Acc_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
1,573646,149305,83.60740317,0.4558,68,0.252752969,0.674007918
2,576315,163117,37.13973404,0.334,37,0.801058594,0.672889219
3,577347,568920,27.903868,0.8196,40,0.297675921,1
4,454015,176148,53.26810665,0.7569,54,0.527780452,1
5,573032,315184,27.10505697,0.8146,37,0.795983682,0.517389394
6,564310,97485,27.77795683,0.3233,45,0.430254199,0.179272583
7,296677,190445,31.87220274,0.942,49,0.585399545,0.134154062
8,376208,87355,17.99114403,0.723,47,1,0.18671034
9,393455,160559,25.72192424,0.975,44,0.74833017,0.233853178
10,459295,229120,26.16123081,0.6932,45,0.818829695,0.393038254
11,288299.27,319479,48.42137006,0.8799,43,0.647052742,0.147057441
12,500204,329880,21.12645699,0.9092,41,0.73661624,0.235717197
13,490905,119302,25.71891127,0.5368,46,0.361294708,0.160575426
14,471328,159352,6.64755625,0.4889,40,0.807578978,0.17513761
15,525980,89152,7.933102112,0.4202,38,0.652439534,0.046602824
16,513314,133940,9.952249157,0.4855,42,0.559587338,0.384716295
17,603547,177282,11.08646455,0.3827,42,0.292203777,0.05748271
18,568258,100200,17.22667515,0.3675,38,0.365702662,0.081267258
19,505679,91507,13.77475095,0.4352,43,0.564323082,0.146305984
20,580456,76422,15.95950114,0.3085,47,0.877871952,0.212817443
21,591801,60044,13.34729803,0.3331,40,0.91190338,0.187744814
22,563891,33267,9.779669451,0.3944,50,1,0.369369407
23,581594,59313,9.235344343,0.5457,35,0.770924884,0.128487481
24,527565,239311,15.2710685,0.373,48,0.866962451,0.220681351
25,544364,72666,26.07167599,0.72,38,1,0.097114213
26,539887,76193,10.6477036,0.3142,47,0.802784042,0.492028929
27,522338,159507,13.45135736,0.5366,41,0.886058084,0.213102577
28,586611,131303,47.90919132,0.5256,52,0.445118358,0.296745572
29,514995,61740,12.66836724,0.3353,43,0.787083427,0.277794151
30,565192,43298,19.61297832,0.2275,47,0.772786964,0.128797827
31,507955,59902,43.99129347,0.55,29.5,0.017163943,0.051491828
32,388396,11340,35.62861551,1.3056,22,0.041726183,0.009272485
33,285648,86583,4.874473917,0.3491,41,0.996838535,0.086681612
34,335938,63196,6.613784813,0.3011,39,1,0.248069145
35,292073,60676,4.446807298,0.3074,32,0.973309926,0.06083187
36,393080,112053,14.33532956,0.82,37,0.357477748,0.134054155
37,297566,111577,8.005979179,0.5267,36,0.976995424,0.162832571
38,273497,78979,17.78349329,0.789,44,1,0.078702108
39,351375,277955,35.43913112,1.1321,48,0.862036401,0.313467782
40,319260,429200,28.29042451,0.9488,46,0.859221702,0.160193877
41,224511,197495,40.78658507,1.4961,38,0.443316858,0.009851486
42,273765,226719,16.35436573,0.9438,39,0.703226154,0.240126004
43,613830,76877,10.63949637,0.4255,46,0.219500449,0.011552655
44,538518,56526,4.321111494,0.3933,45,1,0.169137921
45,526034,72862,13.58806776,0.7106,45,0.303815444,0.027619586
46,483119,131512,4.410688505,0.3738,38,1,0.055848908
47,465120,141447,141.5585773,2,32,0.01001685,0
48,147424,125334,6.031438762,0.3896,36,1,0.229151347
49,73987,44456,7.2590306,0.623,34.8,0.017704898,0.026557346
50,295980,111739,39.83392545,1.3686,27,0.074416254,0
51,174672,25931,100.8479169,1.9542,38,0.007086052,0.004724035
