;alto_viejo;alto_joven;bajo_viejo;bajo_joven
1;0;2;22;103
2;68;29;72;38
3;2;4;4;1
4;82;45;98;70
5;2;102;211;102
6;0;11;82;83
7;0;19;5;148
8;113;90;90;80
9;0;24;31;217
10;0;32;78;204
11;0;28;24;181
12;0;17;14;266
13;0;2;9;126
14;0;20;60;256
15;0;17;57;203
16;0;5;4;211
17;0;1;0;143
18;0;5;12;163
19;0;12;44;154
20;5;71;125;111
21;77;80;134;108
22;0;1;0;1
23;0;25;106;247
24;0;23;90;187
25;0;1;0;1
26;1;72;124;88
27;0;33;77;267
28;0;3;4;149
29;26;24;20;27
30;53;43;98;61
31;0;0;3;126
32;0;3;3;157
33;0;103;190;156
34;106;107;120;104
35;31;159;194;174
36;0;15;17;151
37;23;173;158;152
38;94;202;156;134
39;0;21;23;252
40;0;41;45;223
41;0;21;4;163
42;0;31;30;221
43;0;2;0;106
44;52;49;51;56
45;0;7;18;100
46;40;201;179;243
47;0;83;6;22
48;2;231;197;307
49;0;10;4;70
50;0;8;1;136
51;0;18;2;69
52;0;13;10;238
53;0;0;0;17
54;0;8;2;73
55;11;49;104;59
56;51;179;75;73
57;0;12;5;165
58;0;8;3;95
59;0;6;10;99
60;0;1;1;0
61;1;0;1;0
62;0;22;99;186
63;0;18;80;163
64;0;31;28;150
65;1;108;124;92
66;0;7;0;167
67;0;0;3;78
68;37;85;95;103
69;0;2;3;170
70;0;6;6;185
71;67;69;89;127
72;0;21;32;84
73;0;3;6;162
74;0;2;1;110
75;1;30;22;118
76;0;118;84;107
77;0;2;3;67
78;0;0;1;110
79;0;7;3;128
80;0;3;0;105
81;0;11;16;171
82;0;5;1;107
83;3;156;86;104
84;0;3;0;57
85;51;47;43;67
86;0;2;0;69
87;0;3;0;97
88;0;19;3;114
89;0;18;64;264
90;0;0;1;1
