;alto_viejo;alto_joven;bajo_viejo;bajo_joven
1;0;11;19;97
2;12;25;59;341
3;12;34;76;532
4;5;25;38;210
5;8;35;47;320
6;2;11;20;140
7;14;63;36;39
8;15;70;103;211
9;11;58;40;145
10;6;37;45;218
11;17;83;46;63
12;9;77;47;150
13;2;22;22;86
14;4;27;61;216
15;1;17;42;200
16;6;18;35;154
17;2;17;40;83
18;2;15;19;138
19;5;19;35;143
20;3;19;37;234
21;1;37;52;285
22;12;38;96;112
23;7;13;27;299
24;3;22;47;217
25;18;47;132;193
26;3;22;43;201
27;5;24;40;283
28;0;20;21;114
29;9;39;62;134
30;5;22;40;182
31;0;8;15;99
32;8;25;14;89
33;16;65;112;218
34;30;65;143;225
35;17;78;146;242
36;8;31;46;91
37;27;84;127;210
38;30;118;122;202
39;14;80;40;145
40;13;87;54;136
41;22;92;19;19
42;20;97;58;48
43;0;12;17;75
44;6;27;86;230
45;2;23;27;65
46;23;90;131;305
47;34;27;14;12
48;30;136;184;209
49;18;12;6;17
50;12;69;18;19
51;22;27;9;8
52;10;55;66;95
53;0;1;0;13
54;26;19;18;15
55;7;32;30;148
56;28;88;58;120
57;20;85;26;23
58;7;44;17;20
59;6;18;22;64
60;37;37;17;11
61;34;28;72;40
62;3;21;34;237
63;4;20;28;195
64;23;55;43;67
65;5;25;57;211
66;5;50;39;65
67;1;24;19;29
68;5;19;54;203
69;5;26;45;82
70;8;23;43;94
71;14;37;95;258
72;4;16;34;64
73;1;10;14;134
74;8;31;18;26
75;18;25;32;27
76;15;53;93;80
77;14;19;13;16
78;5;18;22;49
79;11;22;33;22
80;11;27;20;18
81;12;33;39;35
82;9;24;23;21
83;8;37;36;183
84;9;19;6;14
85;12;39;63;57
86;4;17;18;18
87;18;28;20;21
88;20;21;28;27
89;5;24;54;185
90;17;10;36;9
