IDFolio,ZonaEOD,NumeroVehiculos,Ingreso,Avaluo_SII,Promedio_EDAD,Densidad_Hab_0,Acc_com_A_0,T_sup_const_0,Ing_zonal_0,Edad_zonal_0
1003003,1,0,360000,89321311,72.5,0.252752969,573646.3765,149305,455833.3333,68.41666667
1003007,1,2,1250000,84406332,66,0.252752969,573646.3765,149305,455833.3333,68.41666667
1003014,1,2,625000,84406332,73,0.252752969,573646.3765,149305,455833.3333,68.41666667
1003019,1,1,750000,84406332,76.5,0.252752969,573646.3765,149305,455833.3333,68.41666667
1003020,1,1,354000,84406332,83.5,0.252752969,573646.3765,149305,455833.3333,68.41666667
1009901,1,0,375000,74697780.01,39,0.252752969,573646.3765,149305,455833.3333,68.41666667
2007042,2,0,535000,22996963,25,0.801058594,576315.245,163117,334000,37.368
2007053,2,0,160000,22996963,41,0.801058594,576315.245,163117,334000,37.368
2007102,2,0,535000,22996963,21,0.801058594,576315.245,163117,334000,37.368
2007133,2,0,1100000,22996963,24,0.801058594,576315.245,163117,334000,37.368
2007140,2,0,535000,22996963,26,0.801058594,576315.245,163117,334000,37.368
2007902,2,0,410000,75127116.78,53,0.801058594,576315.245,163117,334000,37.368
2007903,2,0,90000,75127116.78,18.33333333,0.801058594,576315.245,163117,334000,37.368
2008011,2,1,1700000,22071187,54,0.801058594,576315.245,163117,334000,37.368
2008043,2,0,535000,22071187,23.5,0.801058594,576315.245,163117,334000,37.368
2008057,2,0,535000,22071187,25,0.801058594,576315.245,163117,334000,37.368
2008062,2,0,535000,22071187,19.5,0.801058594,576315.245,163117,334000,37.368
2008072,2,1,375000,22071187,20.33333333,0.801058594,576315.245,163117,334000,37.368
2008901,2,0,550000,24706198,32,0.801058594,576315.245,163117,334000,37.368
2008902,2,1,450000,24706198,65,0.801058594,576315.245,163117,334000,37.368
2009002,2,0,264000,75127116.78,63,0.801058594,576315.245,163117,334000,37.368
2009003,2,0,90000,75127116.78,52.5,0.801058594,576315.245,163117,334000,37.368
2009007,2,1,925000,49553901,27.2,0.801058594,576315.245,163117,334000,37.368
2009010,2,0,160000,14424468,61,0.801058594,576315.245,163117,334000,37.368
2009013,2,0,264000,25995971,48,0.801058594,576315.245,163117,334000,37.368
2011011,2,0,1250000,20797444,46.33333333,0.801058594,576315.245,163117,334000,37.368
2011012,2,0,500000,47241534,27.5,0.801058594,576315.245,163117,334000,37.368
2011014,2,0,340000,75127116.78,60.5,0.801058594,576315.245,163117,334000,37.368
2011016,2,0,535000,31210180,22.5,0.801058594,576315.245,163117,334000,37.368
2011017,2,0,250000,20691607,55,0.801058594,576315.245,163117,334000,37.368
2011901,2,0,535000,68189516,23,0.801058594,576315.245,163117,334000,37.368
3011007,3,0,485000,27903868,72,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011014,3,0,375000,27903868,71,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011038,3,0,1075000,27903868,31.5,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011900,3,0,325000,27903868,31,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011901,3,0,1250000,27903868,17.75,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011902,3,0,1000000,27903868,39,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011903,3,0,1000000,27903868,23.66666667,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011904,3,0,1250000,27903868,22,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011905,3,0,1000000,27903868,39.25,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011906,3,0,450000,27903868,74,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011907,3,0,925000,27903868,35.5,0.297675921,577346.8659,568920,819583.3333,40.02777778
3011908,3,0,700000,27903868,23.66666667,0.297675921,577346.8659,568920,819583.3333,40.02777778
4005001,4,0,90000,68308333.82,83,0.527780452,454014.6707,176148,756923.1538,54.44871795
4005004,4,1,465000,6609957,75,0.527780452,454014.6707,176148,756923.1538,54.44871795
4005006,4,1,1250000,56703843,61,0.527780452,454014.6707,176148,756923.1538,54.44871795
4005007,4,0,625000,15963821,57.5,0.527780452,454014.6707,176148,756923.1538,54.44871795
4006008,4,0,1000000,25642432,46,0.527780452,454014.6707,176148,756923.1538,54.44871795
4006009,4,0,375000,25642432,84,0.527780452,454014.6707,176148,756923.1538,54.44871795
4006010,4,0,700000,25642432,48,0.527780452,454014.6707,176148,756923.1538,54.44871795
4006011,4,0,700000,25642432,58,0.527780452,454014.6707,176148,756923.1538,54.44871795
4006908,4,0,1325000,25642432,41.25,0.527780452,454014.6707,176148,756923.1538,54.44871795
4009001,4,1,1200000,68308333.82,39.33333333,0.527780452,454014.6707,176148,756923.1538,54.44871795
4009013,4,2,610000,254702788,32.16666667,0.527780452,454014.6707,176148,756923.1538,54.44871795
4009015,4,1,1090000,68308333.82,40.33333333,0.527780452,454014.6707,176148,756923.1538,54.44871795
4013900,4,1,410000,25367816,42.25,0.527780452,454014.6707,176148,756923.1538,54.44871795
5003003,5,1,1150000,16255681,34,0.795983682,573031.9786,315184,814625.15,37.43964286
5003004,5,1,1215000,21026906,35.5,0.795983682,573031.9786,315184,814625.15,37.43964286
5003005,5,0,90000,33326294,22,0.795983682,573031.9786,315184,814625.15,37.43964286
5004001,5,0,250000,20118616,38.25,0.795983682,573031.9786,315184,814625.15,37.43964286
